iter	Passed	Remaining
272	1494	1242
273	1499	1236
274	1503	1230
275	1508	1224
276	1513	1218
277	1518	1212
278	1523	1206
279	1528	1200
280	1534	1195
281	1539	1190
282	1544	1184
283	1550	1179
284	1555	1173
285	1560	1167
286	1566	1162
287	1570	1156
288	1576	1150
289	1581	1145
290	1586	1139
291	1591	1133
292	1595	1127
293	1600	1121
294	1605	1115
295	1609	1109
296	1614	1103
297	1618	1096
298	1623	1091
299	1629	1086
300	1634	1080
301	1640	1075
302	1645	1069
303	1650	1063
304	1655	1058
305	1659	1052
306	1664	1046
307	1669	1040
308	1674	1034
309	1679	1029
310	1683	1023
311	1688	1017
312	1693	1011
313	1698	1006
314	1703	1000
315	1707	994
316	1712	988
317	1717	983
318	1722	977
319	1728	972
320	1732	966
321	1737	960
322	1742	954
323	1746	948
324	1751	943
325	1755	937
326	1760	931
327	1765	926
328	1771	920
329	1776	914
330	1780	909
331	1785	903
332	1790	897
333	1795	892
334	1800	886
335	1805	881
336	1810	875
337	1815	870
338	1820	864
339	1825	858
340	1829	852
341	1835	847
342	1840	842
343	1844	836
344	1850	831
345	1856	826
346	1861	820
347	1866	815
348	1871	809
349	1877	804
350	1882	798
351	1886	793
352	1892	787
353	1897	782
354	1902	776
355	1907	771
356	1913	766
357	1917	760
358	1923	755
359	1927	749
360	1933	744
361	1938	739
362	1943	733
363	1947	727
364	1952	722
365	1958	716
366	1962	711
367	1967	705
368	1972	700
369	1976	694
370	1981	689
371	1986	683
372	1990	677
373	1995	672
374	2000	666
375	2005	661
376	2009	655
377	2014	650
378	2020	645
379	2025	639
380	2031	634
381	2035	628
382	2040	623
383	2045	617
384	2049	612
385	2054	606
386	2059	601
387	2063	595
388	2069	590
389	2074	585
390	2079	579
391	2084	574
392	2090	569
393	2094	563
394	2100	558
395	2105	553
396	2110	547
397	2115	542
398	2120	536
399	2125	531
400	2130	525
401	2136	520
402	2141	515
403	2145	509
404	2150	504
405	2154	498
406	2159	493
407	2164	488
408	2169	482
409	2174	477
410	2179	471
411	2183	466
412	2189	461
413	2193	455
414	2198	450
415	2202	444
416	2207	439
417	2212	434
418	2217	428
419	2222	423
420	2227	418
421	2232	412
422	2237	407
423	2242	402
424	2247	396
425	2252	391
426	2257	386
427	2263	380
428	2267	375
429	2288	372
430	2295	367
431	2304	362
432	2310	357
433	2318	352
434	2324	347
435	2331	342
436	2339	337
437	2345	332
438	2352	326
439	2360	321
440	2365	316
441	2370	311
442	2374	305
443	2379	300
444	2384	294
445	2389	289
446	2395	284
447	2400	278
448	2405	273
449	2412	268
450	2420	262
451	2426	257
452	2432	252
453	2439	247
454	2445	241
455	2450	236
456	2457	231
457	2464	226
458	2469	220
459	2476	215
460	2481	209
461	2488	204
462	2494	199
463	2500	194
464	2506	188
465	2511	183
466	2517	177
467	2523	172
468	2530	167
469	2536	161
470	2542	156
471	2548	151
472	2554	145
473	2558	140
474	2564	134
475	2569	129
476	2575	124
477	2581	118
478	2588	113
479	2593	108
480	2600	102
481	2606	97
482	2613	92
483	2621	86
484	2628	81
485	2635	75
486	2643	70
487	2650	65
488	2656	59
489	2661	54
490	2667	48
491	2672	43
492	2677	38
493	2685	32
494	2692	27
495	2698	21
496	2705	16
497	2713	10
498	2719	5
499	2725	0
