iter	Accuracy	MultiClass
437	0.9539989545	0.2130904597
438	0.9539989545	0.2126209634
439	0.9539989545	0.212360368
440	0.9539989545	0.2118852377
441	0.9545216937	0.2115140535
442	0.9545216937	0.2112313621
443	0.9539989545	0.210841966
444	0.9545216937	0.2104814984
445	0.9545216937	0.2102484479
446	0.9545216937	0.2099716986
447	0.9550444328	0.2096462796
448	0.9550444328	0.2091899471
449	0.9566126503	0.208747576
450	0.9566126503	0.2084288813
451	0.9576581286	0.2080348944
452	0.9581808677	0.2075730619
453	0.9587036069	0.2070873214
454	0.9581808677	0.2068153189
455	0.9587036069	0.2065296426
456	0.9587036069	0.2061553528
457	0.9587036069	0.205882136
458	0.9587036069	0.2055341442
459	0.9592263461	0.2051816494
460	0.9597490852	0.2047988179
461	0.9597490852	0.2045410981
462	0.9607945635	0.2041019109
463	0.9607945635	0.2038244441
464	0.9602718244	0.203426931
465	0.9602718244	0.2032191961
466	0.9607945635	0.2029271032
467	0.9613173027	0.2026756074
468	0.9613173027	0.2023417274
469	0.9613173027	0.2020577481
470	0.962362781	0.2018193016
471	0.9628855201	0.2016064931
472	0.9618400418	0.2013660062
473	0.962362781	0.201083214
474	0.9618400418	0.2008399563
475	0.9628855201	0.2004565609
476	0.9628855201	0.2001178883
477	0.9628855201	0.1998153292
478	0.9628855201	0.1995515269
479	0.9628855201	0.1991849188
480	0.9628855201	0.1989924017
481	0.9634082593	0.1988065479
482	0.9634082593	0.1986020363
483	0.9634082593	0.1981883599
484	0.9634082593	0.1978897538
485	0.9634082593	0.1975786757
486	0.9639309984	0.1971628674
487	0.9639309984	0.1969343937
488	0.9644537376	0.1966887319
489	0.9639309984	0.1964444452
490	0.9639309984	0.1960810406
491	0.9639309984	0.1957305277
492	0.9639309984	0.1954737722
493	0.9639309984	0.1951384097
494	0.9639309984	0.1949836165
495	0.9639309984	0.1947269367
496	0.9639309984	0.1944819057
497	0.9639309984	0.1940635314
498	0.9639309984	0.1937907695
499	0.9634082593	0.1935295491
